side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_per_unit,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,tl_kind,setup_role,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,parallel0_idx,parallel0_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,low_slope,corrective_from_idx,corrective_from_price,corrective_to_idx,corrective_to_price,slope,breakout_idx
long,bounce,2026-05-21 17:40:00,2026-05-25 09:55:00,1354,1452,243.8000030517578,238.2099886541418,238.2099886541418,254.68865999450685,89.44520790737783,0.21806741960783826,500.00000000000006,0.005000000000000001,0.022928688792630072,-5.590014397616017,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 1124, 1143, 1161)",bearish_high_tl,,1124,256.25,1161,254.25,1143,250.0,,,,,,1143,250.0,1161,254.25,-0.05405405405405406,
long,bounce,2026-05-25 10:05:00,2026-05-25 10:10:00,1454,1455,236.10000610351562,235.9502,235.9502,263.6748,3337.6477210612015,7.880186473139347,500.0,0.005,0.0006345027515583747,-0.14980610351562973,-500.0,-0.005,stop,"('bearish_high_tl', 880, 894, 906)",bearish_high_tl,,880,255.0,906,254.25,894,252.5,,,,,,894,252.5,906,254.25,-0.028846153846153848,
long,bounce,2026-05-25 12:25:00,2026-06-01 16:20:00,1482,1658,235.60000610351562,244.4239,232.15302307692306,244.4239,145.05438412160208,0.3417481378439115,500.00000000000006,0.005000000000000001,0.01463065762858283,8.823893896484378,1279.944494708905,0.01279944494708905,target,"('bearish_high_tl', 1405, 1408, 1418)",bearish_high_tl,,1405,244.8000030517578,1418,243.3000030517578,1408,241.0,,,,,,1408,241.0,1418,243.3000030517578,-0.11538461538461539,
long,bounce,2026-06-02 10:10:00,2026-06-02 16:10:00,1681,1753,238.6999969482422,245.72948306274415,237.0552596482099,245.72948306274415,303.9999153604554,0.7256477886880659,500.00000000000006,0.005000000000000001,0.006890395144784696,7.029486114501964,2136.963183836094,0.021369631838360936,target,"('bearish_high_tl', 1585, 1626, 1644)",bearish_high_tl,,1585,241.5,1644,240.5,1626,238.39999389648438,,,,,,1626,238.39999389648438,1644,240.5,-0.01694915254237288,
long,bounce,2026-06-03 12:35:00,2026-06-03 14:00:00,1807,1824,250.5,246.66534252544204,246.66534252544204,256.25198621183694,130.38974232180615,0.3266263045161244,500.0,0.005,0.015308013870490848,-3.8346574745579574,-500.0,-0.005,stop,"('bearish_high_tl', 1776, 1788, 1795)",bearish_high_tl,,1776,252.75,1795,251.5,1788,248.3000030517578,,,,,,1788,248.3000030517578,1795,251.5,-0.06578947368421052,
long,bounce,2026-06-03 14:05:00,2026-06-03 14:25:00,1825,1829,246.60000610351562,244.2877814814815,244.2877814814815,253.9437,216.2419668207383,0.5332527033783029,499.99999999999994,0.004999999999999999,0.009376417537733276,-2.3122246220341367,-499.99999999999994,-0.004999999999999999,stop,"('bearish_high_tl', 1211, 1228, 1238)",bearish_high_tl,,1211,252.25,1238,252.0,1228,250.25,,,,,,1228,250.25,1238,252.0,-0.009259259259259259,
long,bounce,2026-06-04 11:25:00,2026-06-04 14:00:00,1889,1920,231.39999389648438,227.63347695922852,227.63347695922852,253.16651998901366,132.74863974573844,0.3071803442693048,500.0,0.005,0.016277083131388457,-3.766516937255858,-500.0,-0.005,stop,"('bearish_high_tl', 1369, 1382, 1389)",bearish_high_tl,,1369,244.8000030517578,1389,244.3000030517578,1382,240.6999969482422,,,,,,1382,240.6999969482422,1389,244.3000030517578,-0.025,
long,bounce,2026-06-04 14:40:00,2026-06-05 15:25:00,1928,2034,228.3000030517578,240.2111230407715,222.4592503813567,240.2111230407715,85.60540536732952,0.19543714306608295,499.99999999999994,0.004999999999999999,0.02558367320335498,11.911119989013685,1019.6562550384181,0.01019656255038418,target,"('bearish_high_tl', 1845, 1865, 1872)",bearish_high_tl,,1845,245.3000030517578,1872,239.8000030517578,1865,235.5,,,,,,1865,235.5,1872,239.8000030517578,-0.2037037037037037,
long,bounce,2026-06-08 12:25:00,2026-06-08 12:55:00,2095,2101,239.5,238.3405055306571,238.3405055306571,251.43091998901366,431.22241047286855,1.0327776730825202,500.0,0.005,0.004841313024396194,-1.1594944693428886,-500.0,-0.005,stop,"('bearish_high_tl', 1795, 1802, 1809)",bearish_high_tl,,1795,251.5,1809,251.0,1802,249.1999969482422,,,,,,1802,249.1999969482422,1809,251.0,-0.03571428571428571,
long,bounce,2026-06-08 15:05:00,2026-06-09 10:35:00,2127,2170,238.1999969482422,234.22267258780343,234.22267258780343,244.16598348890034,125.71265370593076,0.29944753729108137,500.00000000000006,0.005000000000000001,0.016697415664967363,-3.9773243604387574,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 2082, 2102, 2117)",bearish_high_tl,,2082,244.6999969482422,2117,240.39999389648438,2102,237.60000610351562,,,,,,2102,237.60000610351562,2117,240.39999389648438,-0.12285723005022321,
