time,entry_time,side,mode,pattern,pattern_key
2026-05-22 17:20:00,2026-05-22 17:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1423, 1427, 1432, 1438, 1441)"
2026-06-02 11:45:00,2026-06-02 11:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1661, 1666, 1680, 1693, 1697)"
2026-06-02 13:55:00,2026-06-02 14:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1661, 1666, 1680, 1693, 1723)"
2026-06-03 16:15:00,2026-06-03 16:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1661, 1666, 1680, 1693, 1750)"
2026-06-03 16:25:00,2026-06-03 16:30:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1697, 1700, 1710, 1757, 1762)"
2026-06-03 16:30:00,2026-06-03 16:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1697, 1700, 1710, 1776, 1790)"
2026-06-03 16:35:00,2026-06-03 16:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1697, 1700, 1710, 1795, 1804)"
2026-06-04 17:00:00,2026-06-04 17:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1916, 1919, 1927, 1939, 1953)"
2026-06-05 12:45:00,2026-06-05 12:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1916, 1919, 1927, 1957, 1962)"
2026-06-08 09:55:00,2026-06-08 10:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1916, 1919, 1927, 1976, 1985)"
2026-06-09 10:40:00,2026-06-09 10:45:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1916, 1919, 1927, 1988, 1993)"
2026-06-09 10:45:00,2026-06-09 10:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1916, 1919, 1927, 2005, 2021)"
2026-06-09 10:50:00,2026-06-09 10:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2096, 2099, 2102, 2117, 2145)"
2026-06-10 11:35:00,2026-06-10 11:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2235, 2245, 2257, 2269, 2276)"
2026-06-10 13:30:00,2026-06-10 13:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2235, 2245, 2257, 2294, 2299)"
2026-06-11 10:00:00,2026-06-11 10:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2235, 2245, 2257, 2310, 2315)"
2026-06-11 11:50:00,2026-06-11 11:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2276, 2279, 2288, 2327, 2333)"
2026-06-11 11:55:00,2026-06-11 12:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2276, 2279, 2350, 2357, 2360)"
2026-06-11 16:45:00,2026-06-11 16:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2385, 2391, 2421, 2424, 2433)"
2026-06-12 13:40:00,2026-06-12 13:45:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2433, 2439, 2461, 2487, 2495)"
2026-06-12 17:15:00,2026-06-12 17:20:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2433, 2439, 2461, 2487, 2535)"
2026-06-15 11:25:00,2026-06-15 11:30:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2495, 2502, 2551, 2555, 2565)"
2026-06-15 12:35:00,2026-06-15 12:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2495, 2502, 2551, 2568, 2571)"
2026-06-15 14:45:00,2026-06-15 14:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2571, 2574, 2587, 2600, 2605)"
2026-06-15 17:00:00,2026-06-15 17:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2571, 2574, 2587, 2609, 2612)"
2026-06-15 17:05:00,2026-06-15 17:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2571, 2574, 2587, 2616, 2619)"
2026-06-17 11:20:00,2026-06-17 11:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2713, 2730, 2741, 2754, 2758)"
2026-06-18 10:00:00,2026-06-18 10:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2713, 2730, 2741, 2761, 2764)"
2026-06-18 10:05:00,2026-06-18 10:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 2713, 2730, 2741, 2794, 2799)"
2026-06-24 17:30:00,2026-06-24 17:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3279, 3283, 3300, 3313, 3317)"
2026-06-25 11:35:00,2026-06-25 11:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3317, 3320, 3326, 3333, 3336)"
2026-06-26 10:35:00,2026-06-26 10:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3400, 3403, 3418, 3425, 3428)"
2026-06-26 15:15:00,2026-06-26 15:20:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3400, 3403, 3418, 3432, 3437)"
2026-06-26 17:45:00,2026-06-26 17:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3437, 3441, 3487, 3502, 3513)"
2026-06-29 10:50:00,2026-06-29 10:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3437, 3441, 3487, 3522, 3528)"
2026-06-29 17:25:00,2026-06-29 17:30:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3585, 3592, 3598, 3603, 3607)"
2026-06-30 12:05:00,2026-06-30 12:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3585, 3592, 3598, 3618, 3621)"
2026-06-30 16:55:00,2026-06-30 17:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3585, 3592, 3598, 3625, 3633)"
2026-07-01 15:45:00,2026-07-01 15:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3585, 3592, 3598, 3645, 3662)"
2026-07-08 10:00:00,2026-07-08 10:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 3585, 3592, 3598, 3671, 3675)"
