side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_per_unit,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,pattern_side,base0_idx,base0_price,base1_idx,base1_price,parallel0_idx,parallel0_price,corrective_from_idx,corrective_from_price,corrective_to_idx,corrective_to_price,slope,breakout_idx
long,bounce,2026-05-11 14:45:00,2026-05-11 15:45:00,640,652,263.25,262.2757,262.2757,264.71145,513.1889561736485,1.3509699271271296,500.0000000000001,0.005000000000000001,0.0037010446343780736,-0.9743000000000279,-500.0000000000001,-0.005000000000000001,stop,"('bull', 600, 623, 629)",bull,600,261.5,629,262.75,623,263.75,623,263.75,629,262.75,0.04310344827586207,
short,bounce,2026-05-12 12:05:00,2026-05-12 12:45:00,705,713,261.25,258.52,262.9689,258.52,290.8837046948597,0.7599336785153211,499.99999999999994,0.004999999999999999,0.006579521531100552,2.730000000000018,794.1125138169723,0.007941125138169722,target,"('bear', 643, 677, 693)",bear,643,264.25,693,262.5,677,259.5,677,259.5,693,262.5,-0.035,
short,bounce,2026-05-12 16:55:00,2026-05-13 15:20:00,763,841,257.0,251.056775,260.96215,251.056775,126.19411178274396,0.324318867281652,500.0,0.005,0.015416926070038943,5.943225000000012,750.0,0.0075,target,"('bear', 693, 714, 724)",bear,693,262.5,724,260.25,714,257.75,714,257.75,724,260.25,-0.07258064516129033,
short,bounce,2026-05-13 15:30:00,2026-05-15 10:00:00,843,971,251.0,255.95135,255.95135,243.572975,100.98256031183435,0.2534662263827042,500.00000000000006,0.005000000000000001,0.019726494023904344,-4.951349999999991,-500.00000000000006,-0.005000000000000001,stop,"('bear', 782, 799, 804)",bear,782,256.75,804,254.75,799,253.5,799,253.5,804,254.75,-0.09090909090909091,
long,bounce,2026-05-15 10:05:00,2026-05-18 16:10:00,972,1142,257.0,250.78695,250.78695,266.319575,80.47577276860788,0.20682273601532225,500.0,0.005,0.024175291828793813,-6.21305000000001,-500.0,-0.005,stop,"('bull', 894, 906, 911)",bull,894,252.5,911,253.0,906,254.25,906,254.25,911,253.0,0.029411764705882353,
short,breakout_retest,2026-05-18 16:35:00,2026-05-21 17:25:00,1147,1351,252.5,246.1946,256.7036,246.1946,118.94566561994496,0.300337805690361,500.0,0.005,0.016647920792079187,6.305399999999992,750.0,0.0075,target,"('bear', 1087, 1116, 1124)",bear,1087,259.25,1124,256.25,1116,254.5,1116,254.5,1124,256.25,-0.08108108108108109,1142.0
short,bounce,2026-05-21 17:40:00,2026-06-04 14:00:00,1354,1920,243.8000030517578,227.47241763763427,254.68505999450684,227.47241763763427,45.93453232535175,0.11198839121101826,499.9999999999999,0.004999999999999999,0.04464748485026957,16.327585414123547,749.9999999999999,0.007499999999999999,target,"('bear', 1124, 1143, 1161)",bear,1124,256.25,1161,254.25,1143,250.0,1143,250.0,1161,254.25,-0.05405405405405406,
short,breakout_retest,2026-06-04 14:25:00,2026-06-08 10:00:00,1925,2066,228.5,245.71184305725097,245.71184305725097,202.68223541412354,29.04976523065384,0.06637871355204403,500.0,0.005,0.0753253525481443,-17.211843057250974,-500.0,-0.005,stop,"('bear', 1809, 1829, 1845)",bear,1809,251.0,1845,245.3000030517578,1829,244.1999969482422,1829,244.1999969482422,1845,245.3000030517578,-0.15833324856228298,1920.0
long,breakout_retest,2026-06-08 10:20:00,2026-06-09 10:40:00,2070,2171,243.3000030517578,233.6615260925293,233.6615260925293,257.7577184906006,51.87541580636006,0.12621288823998608,500.0,0.005,0.039615605582948125,-9.638476959228512,-500.0,-0.005,stop,"('bull', 1952, 1976, 1985)",bull,1952,231.8000030517578,1985,234.10000610351562,1976,236.8000030517578,1976,236.8000030517578,1985,234.10000610351562,0.06969706217447917,2066.0
short,bounce,2026-06-09 11:05:00,2026-06-23 10:15:00,2176,3136,232.6999969482422,220.5211715423584,240.81921388549804,220.5211715423584,61.582293448238694,0.143301994974709,500.0,0.005,0.034891349564829414,12.1788254058838,750.0000000000008,0.0075000000000000075,target,"('bear', 2082, 2102, 2117)",bear,2082,244.6999969482422,2117,240.39999389648438,2102,237.60000610351562,2102,237.60000610351562,2117,240.39999389648438,-0.12285723005022321,
short,bounce,2026-06-23 10:20:00,2026-07-01 10:10:00,3137,3717,220.5,229.09761693725585,229.09761693725585,207.60357459411622,58.155649832846336,0.12823320788142617,500.0,0.005,0.03899146003290635,-8.59761693725585,-500.0,-0.005,stop,"('bear', 2730, 2740, 2745)",bear,2730,227.0,2745,226.8000030517578,2740,225.1999969482422,2740,225.1999969482422,2745,226.8000030517578,-0.0133331298828125,
long,breakout_retest,2026-07-01 10:20:00,2026-07-01 13:10:00,3719,3753,228.89999389648438,235.22529560241696,224.6831260925293,235.22529560241696,118.57141917777028,0.27140997126089106,500.00000000000006,0.005000000000000001,0.01842231505633882,6.3253017059325884,749.9999999999984,0.007499999999999984,target,"('bull', 3659, 3701, 3706)",bull,3659,221.10000610351562,3706,225.10000610351562,3701,227.60000610351562,3701,227.60000610351562,3706,225.10000610351562,0.0851063829787234,3717.0
long,bounce,2026-07-01 13:40:00,2026-07-02 11:35:00,3759,3831,235.1999969482422,239.46511627906978,232.67646609802247,239.46511627906978,198.1350851948043,0.4660137143315768,500.0,0.005,0.010729297971781179,4.265119330827588,845.0697819795308,0.008450697819795308,target,"('bull', 3706, 3735, 3749)",bull,3706,225.10000610351562,3749,233.10000610351562,3735,235.0,3735,235.0,3749,233.10000610351562,0.18604651162790697,
long,bounce,2026-07-02 11:40:00,2026-07-03 15:50:00,3832,3979,239.89999389648438,247.9012247329712,234.56584000549316,247.9012247329712,93.73557835375607,0.2248716467494951,500.00000000000006,0.005000000000000001,0.022234906322227244,8.001230836486826,750.0000000000001,0.0075000000000000015,target,"('bull', 3749, 3786, 3797)",bull,3749,233.10000610351562,3797,235.6999969482422,3786,238.6999969482422,3786,238.6999969482422,3797,235.6999969482422,0.05416647593180338,
long,bounce,2026-07-03 15:55:00,2026-07-08 10:00:00,3980,4200,247.60000610351562,261.01501611175536,238.65666609802247,261.01501611175536,55.9075244475656,0.1384270339444969,500.00000000000006,0.005000000000000001,0.03612011221742119,13.415010008239733,750.0000000000001,0.0075000000000000015,target,"('bull', 3877, 3884, 3888)",bull,3877,238.10000610351562,3888,239.10000610351562,3884,240.60000610351562,3884,240.60000610351562,3888,239.10000610351562,0.09090909090909091,
long,bounce,2026-07-08 10:05:00,2026-07-16 16:10:00,4201,4759,263.25,281.58645,251.0257,281.58645,40.902137545708136,0.10767487708907668,499.99999999999994,0.004999999999999999,0.0464360873694207,18.336450000000013,750.0000000000005,0.007500000000000005,target,"('bull', 4053, 4117, 4123)",bull,4053,243.0,4123,251.5,4117,255.5,4117,255.5,4123,251.5,0.12142857142857143,
long,bounce,2026-07-16 17:00:00,2026-07-20 10:20:00,4769,4883,283.25,297.14045,273.9897,297.14045,53.993931082146524,0.15293780979018004,499.99999999999994,0.004999999999999999,0.032693027360988426,13.890449999999987,750.0000000000015,0.0075000000000000145,target,"('bull', 4682, 4697, 4709)",bull,4682,270.5,4709,274.5,4697,278.75,4697,278.75,4709,274.5,0.14814814814814814,
