Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
176,OYAKC.IS,252.0,2026-04-29 12:45:00,23.80378068733215,5.998552733207702,2026-04-29 12:50:00,23.776199237823487,5.991602207931519,-18.94068021732204,-0.0031575416704211563,Long,Closed,176
177,OYAKC.IS,256.0,2026-05-04 11:45:00,23.383360610961912,5.986140316406249,2026-05-04 11:50:00,23.376599618911744,5.984409502441406,-13.701363783690692,-0.002288847748212531,Long,Closed,177
178,OYAKC.IS,288.0,2026-06-11 09:15:00,20.84081969451904,6.002156072021484,2026-06-11 09:20:00,20.779199237823487,5.984409380493164,-29.73325698083404,-0.0049537627186058975,Long,Closed,178
179,OYAKC.IS,273.0,2026-06-16 08:25:00,21.921899618148803,5.984678595754624,2026-06-16 08:30:00,21.878099618911744,5.972721195962906,-23.91479958343529,-0.003996003996004034,Long,Closed,179
180,OYAKC.IS,278.0,2026-06-17 13:15:00,21.601579923629757,6.005239218769073,2026-06-17 13:20:00,21.55841992378235,5.993240738811494,-23.996959915159206,-0.003996003996003676,Long,Closed,180
181,OYAKC.IS,289.0,2026-06-30 09:00:00,20.72070076370239,5.988282520709991,2026-06-30 09:05:00,20.679300762176513,5.976317920269013,-23.929200881956852,-0.0039960039960038034,Long,Closed,181
182,OYAKC.IS,286.0,2026-07-06 10:15:00,20.96094053459167,5.994828992893218,2026-07-06 10:20:00,20.91906053352356,5.982851312587738,-23.95536061096109,-0.003996003996003859,Long,Closed,182
183,PETKM.IS,249.0,2026-04-30 12:35:00,24.084059465408323,5.996930806886672,2026-04-30 12:40:00,24.055919923782348,5.989924061021805,-18.993600732775775,-0.0031672202572296092,Long,Closed,183
184,PETKM.IS,254.0,2026-05-07 12:20:00,23.64362084007263,6.005479693378447,2026-05-07 12:25:00,23.576400381088256,5.988405696796417,-29.067881972205168,-0.004840226502514858,Long,Closed,184
185,PETKM.IS,258.0,2026-06-03 10:20:00,23.203180305480956,5.986420518814087,2026-06-03 10:25:00,23.156820304870607,5.974459638656617,-23.92176031494116,-0.003996003996003955,Long,Closed,185
186,PETKM.IS,271.0,2026-06-04 07:50:00,22.14212084007263,6.0005147476596825,2026-06-04 07:55:00,22.077900381088256,5.983111003274917,-29.38737013569925,-0.0048974748619959475,Long,Closed,186
187,PETKM.IS,293.0,2026-06-09 08:05:00,20.460440534591672,5.99490907663536,2026-06-09 08:10:00,20.439539085388184,5.9887849520187375,-18.10781864527689,-0.0030205326575928476,Long,Closed,187
188,PETKM.IS,309.0,2026-06-12 07:35:00,19.42940984725952,6.003687642803192,2026-06-12 07:50:00,19.37060939025879,5.985518301589965,-30.15854715761945,-0.005023337147423291,Long,Closed,188
189,PETKM.IS,309.0,2026-06-15 12:20:00,19.42940984725952,6.003687642803192,2026-06-15 12:25:00,19.37060939025879,5.985518301589965,-30.15854715761945,-0.005023337147423291,Long,Closed,189
190,PETKM.IS,311.0,2026-06-16 07:30:00,19.29928068733215,6.0020762937602985,2026-06-16 07:35:00,19.25073045730591,5.986977172222137,-27.088175004143377,-0.004513134068672867,Long,Closed,190
191,PETKM.IS,296.0,2026-06-17 14:25:00,20.240219312667843,5.9911049165496815,2026-06-17 14:30:00,20.179800762176512,5.973221025604247,-29.848216887588286,-0.004982088830582203,Long,Closed,191
