Date,hmm_state,hmm_state_prob_0,hmm_state_prob_1,hmm_state_prob_2,hmm_state_prob_3
2026-06-01 13:45:00+03:00,0.0,0.9999972190528311,4.3710888723409653e-11,3.759097390292332e-07,2.4049937063732854e-06
2026-06-01 13:50:00+03:00,0.0,0.999998383003401,1.6483074771333576e-10,3.2699946895039604e-07,1.2898331352709683e-06
2026-06-01 13:55:00+03:00,0.0,0.9999959878485694,1.587289859331494e-10,5.13243086091751e-07,3.4987488708110007e-06
2026-06-01 14:00:00+03:00,0.0,0.9999952444636009,6.66805135344606e-11,3.599991564518464e-07,4.3954701896650884e-06
2026-06-01 14:05:00+03:00,0.0,0.9999980832599429,3.556280375236658e-11,9.639688054588126e-07,9.527370182313451e-07
2026-06-01 14:10:00+03:00,0.0,0.9999982787099987,4.2671670730092835e-11,8.810963646380217e-07,8.401521284197241e-07
2026-06-01 14:15:00+03:00,0.0,0.9999970726355161,3.360385973524138e-11,6.133559091711752e-07,2.313976047755255e-06
2026-06-01 14:20:00+03:00,0.0,0.9999980758639462,2.0374410954753628e-11,1.1166250799034717e-06,8.074920457146459e-07
2026-06-01 14:25:00+03:00,0.0,0.9999985156439027,5.768116412677534e-11,4.797965947924208e-07,1.004501383512812e-06
2026-06-01 14:30:00+03:00,0.0,0.9999961250434851,2.1232806073096863e-11,3.04816893575295e-06,8.2676483716854e-07
2026-06-01 14:35:00+03:00,0.0,0.9999976590215854,1.6837826894636764e-11,1.6475651821969792e-06,6.933969002667885e-07
2026-06-01 14:40:00+03:00,0.0,0.9999970374927443,2.677846035479676e-11,2.2657248966219397e-06,6.967547265303201e-07
2026-06-01 14:45:00+03:00,0.0,0.9999965606280086,3.2459940885794735e-11,2.618898057385891e-06,8.20440081468497e-07
2026-06-01 14:50:00+03:00,0.0,0.9999968301431399,5.5384608229811135e-11,2.108988768668062e-06,1.0608124628020182e-06
2026-06-01 14:55:00+03:00,0.0,0.9999959002100154,6.533631601919423e-11,3.00506512922224e-06,1.0946599399614016e-06
2026-06-01 15:00:00+03:00,0.0,0.9999951475555869,3.623818329758958e-11,4.398587872865359e-06,4.538189079367789e-07
2026-06-01 15:05:00+03:00,0.0,0.999996459026891,6.497819802837008e-11,3.0073326164022946e-06,5.335747192421787e-07
2026-06-01 15:10:00+03:00,0.0,0.999995136408874,1.4459156864035426e-10,4.1109748890878195e-06,7.524700971459403e-07
2026-06-01 15:15:00+03:00,0.0,0.9999945485472725,1.4807146851043615e-10,3.821399291078454e-06,1.6299057362161576e-06
2026-06-01 15:20:00+03:00,0.0,0.9999958301864889,8.118639157100215e-11,3.4322597558679622e-06,7.374710852687788e-07
2026-06-01 15:25:00+03:00,0.0,0.9999971758192122,7.705992038118075e-11,2.026572378931232e-06,7.975308880782812e-07
2026-06-01 15:30:00+03:00,0.0,0.9999977714639775,1.281570006461413e-10,1.4125113594510061e-06,8.158949002677647e-07
2026-06-01 15:35:00+03:00,0.0,0.9999965089397849,9.98461111219121e-11,2.6990558957686247e-06,7.91904426819663e-07
2026-06-01 15:40:00+03:00,0.0,0.9999970880605011,2.1138095093203722e-10,1.3692180525661265e-06,1.5425115949908074e-06
2026-06-01 15:45:00+03:00,0.0,0.9999974726411088,1.4582656510651434e-10,7.548068253261617e-07,1.772407995500538e-06
2026-06-01 15:50:00+03:00,0.0,0.9999967093153401,8.858790433686629e-11,1.4218871555974297e-06,1.8687105636674028e-06
2026-06-01 15:55:00+03:00,0.0,0.9999961737703856,1.4858189122074297e-10,1.8474475679572427e-06,1.9786349588184777e-06
